cluster_key,score,count
L1_M3_H3_O4_R2,0.233333,1
L2_M2_H3_O1_R1,0.233333,1
L3_M1_H3_O4_R3,0.233333,1
L4_M3_H0_O3_R2,0.233333,1
L2_M1_H4_O2_R2,0.145833,2
L2_M2_H3_O4_R2,0.116667,3
L3_M1_H3_O1_R1,0.116667,3
L4_M2_H1_O4_R2,0.116667,3
L2_M2_H3_O3_R2,0.102083,4
L1_M2_H4_O3_R2,0.102083,4
L2_M2_H3_O2_R2,0.102083,4
L3_M1_H3_O2_R1,0.093333,5
L3_M2_H2_O4_R2,0.083333,7
L0_M4_H3_O2_R3,0.058333,1
L1_M1_H5_O4_R3,0.058333,1
L1_M2_H4_O2_R2,0.058333,2
L1_M2_H4_O2_R3,0.058333,1
L1_M2_H4_O3_R3,0.058333,1
L1_M2_H4_O4_R2,0.058333,1
L1_M2_H4_O4_R3,0.058333,1
L1_M2_H4_O4_R4,0.058333,1
L1_M3_H3_O2_R2,0.058333,1
L1_M3_H3_O3_R1,0.058333,1
L1_M3_H3_O3_R2,0.058333,2
L1_M3_H3_O5_R1,0.058333,1
L1_M3_H3_O6_R1,0.058333,2
L1_M4_H2_O3_R2,0.058333,4
L1_M4_H2_O3_R4,0.058333,1
L1_M4_H2_O5_R1,0.058333,2
L1_M4_H2_O6_R1,0.058333,1
L2_M0_H5_O3_R2,0.058333,1
L2_M1_H4_O3_R2,0.058333,1
L2_M1_H4_O4_R2,0.058333,2
L2_M2_H3_O3_R1,0.058333,4
L2_M2_H3_O3_R3,0.058333,1
L2_M2_H3_O4_R1,0.058333,2
L2_M2_H3_O5_R3,0.058333,1
L2_M2_H3_O6_R1,0.058333,1
L2_M3_H2_O2_R1,0.058333,2
L2_M3_H2_O3_R1,0.058333,2
L2_M3_H2_O3_R2,0.058333,2
L2_M3_H2_O5_R2,0.058333,2
L2_M3_H2_O6_R1,0.058333,1
L2_M4_H1_O5_R1,0.058333,1
L2_M4_H1_O6_R1,0.058333,1
L3_M0_H4_O2_R1,0.058333,1
L3_M0_H4_O4_R2,0.058333,1
L3_M1_H3_O2_R2,0.058333,2
L3_M1_H3_O3_R1,0.058333,1
L3_M1_H3_O3_R2,0.058333,4
L3_M1_H3_O4_R2,0.058333,5
L3_M1_H3_O5_R2,0.058333,1
L3_M2_H2_O3_R1,0.058333,1
L3_M2_H2_O3_R2,0.058333,1
L3_M2_H2_O4_R1,0.058333,1
L3_M2_H2_O5_R2,0.058333,1
L3_M3_H1_O4_R2,0.058333,2
L4_M0_H3_O2_R1,0.058333,2
L4_M1_H2_O2_R1,0.058333,2
L4_M1_H2_O3_R2,0.058333,1
L4_M2_H1_O3_R1,0.058333,1
L4_M3_H0_O2_R2,0.058333,1
L2_M2_H3_O2_R1,0.058333,3
L2_M2_H3_O4_R3,0.058333,3
L3_M3_H1_O3_R2,0.058333,3
