number,transformer_prob,ppo_prob,deep_score
27,0.5393232107162476,0.4712958037853241,0.508710877597332
16,0.3888854682445526,0.6232113242149353,0.49433210343122486
3,0.3078824281692505,0.6879984140396118,0.4789346218109131
25,0.3373983502388,0.608984112739563,0.45961194336414335
28,0.2296104580163955,0.715438961982727,0.4482332848012447
8,0.238753393292427,0.6142129898071289,0.40771021172404287
37,0.2679160535335541,0.5065167546272278,0.3752863690257073
10,0.2517932057380676,0.4937318563461303,0.3606655985116959
20,0.2406472563743591,0.4818795919418335,0.3492018073797226
17,0.2163180708885193,0.4930404424667358,0.34084313809871675
6,0.1579711884260177,0.5643524527549744,0.34084275737404823
32,0.1637634336948394,0.5495122671127319,0.33735040873289107
29,0.2021446377038955,0.5012506246566772,0.3367423318326473
21,0.204529196023941,0.4950390458106994,0.33525862842798226
35,0.0531416907906532,0.6577357649803162,0.32520902417600156
26,0.1640096753835678,0.5076818466186523,0.31866215243935586
30,0.1647674441337585,0.5031775236129761,0.3170519798994064
34,0.1747150421142578,0.4872851371765136,0.3153715848922729
9,0.0795889869332313,0.5890047550201416,0.30882608257234095
33,0.1149004474282264,0.5429731607437134,0.30753316842019557
15,0.1377241611480713,0.4970282316207886,0.2994109928607941
7,0.0972706452012062,0.5328667163848877,0.2932888772338629
4,0.1198804676532745,0.5049921274185181,0.2931807145476341
13,0.1846934556961059,0.4246931672096252,0.2926933258771896
5,0.1393313556909561,0.4796643555164337,0.292481205612421
1,0.1022123843431472,0.5198794603347778,0.290162568539381
22,0.1155692264437675,0.4853056967258453,0.28195063807070253
36,0.1034540981054306,0.4837664067745209,0.27459463700652126
23,0.0887808576226234,0.5007249712944031,0.2741557087749243
19,0.0510347411036491,0.5319396257400513,0.26744193919003006
11,0.0666911005973815,0.4976343214511871,0.26061554998159403
12,0.0571738854050636,0.4883888661861419,0.2512206267565488
31,0.0554237924516201,0.4845642149448395,0.24853698257356882
2,0.0456565357744693,0.4956845343112945,0.24816913511604066
14,0.0140159102156758,0.5250009298324585,0.24395916904322804
24,0.0353598669171333,0.4914641678333282,0.240606802329421
18,0.0339174792170524,0.4883051514625549,0.2383919317275285
