epoch,reward_avg,reward_max,loss,entropy
1,1.0718750000000001,8.900000000000002,0.8735947608947754,25.592578887939453
2,1.16015625,8.900000000000002,0.6601659655570984,25.583465576171875
3,1.0921875,8.900000000000002,0.3909545838832855,25.565818786621094
4,1.1078125,8.900000000000002,0.3155527412891388,25.551639556884766
5,1.00234375,4.8,0.13719072937965393,25.54258918762207
6,1.1125,8.900000000000002,0.3861885666847229,25.534744262695312
7,0.97578125,1.8000000000000003,-0.16367018222808838,25.522891998291016
8,1.08984375,8.900000000000002,0.6345118284225464,25.511825561523438
9,1.05234375,4.8,0.11103689670562744,25.489532470703125
10,1.15625,8.900000000000002,0.6065565347671509,25.472124099731445
11,1.08046875,8.900000000000002,0.391757607460022,25.455381393432617
12,1.196875,8.900000000000002,0.3656861484050751,25.450258255004883
13,1.09296875,8.400000000000002,0.17766577005386353,25.440343856811523
14,1.02578125,8.900000000000002,0.18998855352401733,25.427413940429688
15,1.3171875000000002,8.900000000000002,0.716783881187439,25.38947296142578
16,1.2671875000000001,8.900000000000002,0.7311548590660095,25.36090087890625
17,1.31015625,35.39999999999999,4.632811546325684,25.316024780273438
18,1.1546875,8.900000000000002,0.5272771120071411,25.28285789489746
19,1.12421875,8.900000000000002,0.19286823272705078,25.26848030090332
20,1.37109375,8.900000000000002,0.8851178288459778,25.241811752319336
