generation,count,score_avg,score_max,max_match
0,300,12856.241060453334,26454.988861,6
1,325,13536.278902307695,26726.975523,6
2,300,13085.879288936663,26454.988861,6
3,250,11558.599027707998,26690.856101,6
4,200,9538.07706156,16797.252302,6
5,200,9619.570612900006,18970.462901,6
6,200,9466.336909534999,19843.361281,6
7,200,9520.69352747,17066.896049,6
8,200,9444.679384439998,15910.073107,6
9,200,9393.625393580007,16915.410361,6
10,150,9232.939016179998,13012.883692,6
11,125,9258.174422711998,16263.297356,6
12,75,9467.011243173336,16654.243344,6
13,75,9898.823359559996,17107.022185,6
14,50,9956.216393379997,16908.473628,6
15,50,10131.794496839995,16913.294277,6
16,50,10047.464249980003,16060.381673,6
17,50,9486.864778220002,16250.857662,6
18,50,9415.3051332,16719.050082,6
19,50,9244.109043279997,12498.569176,6
20,50,10304.851645260002,17119.440688,6
21,50,10390.413092739998,17080.361684,6
22,50,9829.229688679998,16482.534065,6
23,50,9936.094989239997,19281.300103,6
24,50,9651.133163339997,16190.452396,6
25,50,9809.3154029,20226.079173,6
26,25,9679.75704292,16684.827562,6
27,25,9731.56612804,15555.772,6
28,25,9522.551881919999,16719.479528,6
29,25,10046.7428192,16153.338948,6
30,25,9770.90670736,16160.285396,6
31,25,9652.211261679999,13241.877759,6
32,25,9631.57592648,13322.752479,6
33,25,9204.31379912,12498.998002,6
34,25,9150.903966679998,12073.270023,6
